Name,Team,Goals,Assists,Points
Brady Tkachuk,OTT,28,52,80
Drake Batherson,OTT,24,31,55
Shane Pinto,OTT,10,15,25
Josh Norris,OTT,30,15,45
David Perron,OTT,24,28,52
Ridley Greig,OTT,15,28,43
Michael Amadio,OTT,13,26,39
Zack MacEwen,OTT,7,12,19
Noah Gregor,OTT,4,13,17
Nick Cousins,OTT,5,9,14
Jake Sanderson,OTT,10,24,34
Thomas Chabot,OTT,13,28,41
Artem Zub,OTT,1,22,23
Nick Jensen,OTT,6,33,39
Travis Hamonic,OTT,2,13,15
Jacob Bernard-Docker,OTT,1,4,5
Nikita Kucherov,TB,27,50,77
Brayden Point,TB,36,32,68
Jake Guentzel,TB,12,40,52
Brandon Hagel,TB,22,30,52
Anthony Cirelli,TB,22,26,48
Nicholas Paul,TB,19,18,37
Conor Sheary,TB,12,24,36
Mikey Eyssimont,TB,12,19,31
Cam Atkinson,TB,7,14,21
Zemgus Girgensons,TB,12,1,13
Luke Glendening,TB,9,6,15
Mitchell Chaffee,TB,13,3,16
Victor Hedman,TB,17,35,52
Erik Cernak,TB,2,18,20
Ryan McDonagh,TB,0,20,20
Darren Raddysh,TB,1,11,12
JJ Moser,TB,1,15,16
Nick Perbix,TB,1,7,8
Auston Matthews,TOR,52,25,77
William Nylander,TOR,32,39,71
Mitch Marner,TOR,37,48,85
John Tavares,TOR,19,32,51
Matthew Knies,TOR,28,28,56
Max Domi,TOR,11,32,43
Nicholas Robertson,TOR,9,22,31
Max Pacioretty,TOR,13,19,32
Pontus Holmberg,TOR,3,17,20
David Kampf,TOR,7,10,17
Connor Dewar,TOR,6,11,17
Bobby McMann,TOR,9,10,19
Ryan Reaves,TOR,1,0,1
Steven Lorentz,TOR,1,1,2
Calle Jarnkrok,TOR,1,5,6
Morgan Rielly,TOR,6,45,51
Chris Tanev,TOR,7,18,25
Oliver Ekman-Larsson,TOR,8,14,22
Jake McCabe,TOR,4,28,32
Simon Benoit,TOR,0,7,7
Timothy Liljgren,TOR,0,8,8
Conor Timmins,TOR,1,4,5
Sebastian Aho,CAR,43,49,92
Andrei Svechnikov,CAR,35,54,89
Seth Jarvis,CAR,49,33,82
Jesperi Kotkaniemi,CAR,27,19,46
Martin Necas,CAR,23,34,57
Jesper Fast,CAR,16,25,41
Jack Drury,CAR,10,19,29
Jordan Staal,CAR,11,18,29
Jack Roslovic,CAR,5,30,35
Tyson Jost,CAR,14,12,26
William Carrier,CAR,4,12,16
Jordan Martinook,CAR,6,18,24
Brendan Lemieux,CAR,2,3,5
Eric Robinson,CAR,0,6,6
Ryan Suzuki,CAR,0,2,2
Jaccob Slavin,CAR,5,30,35
Brent Burns,CAR,12,29,41
Sean Walker,CAR,6,22,28
Dimitry Orlov,CAR,2,15,17
Shayne Gostisbehere,CAR,2,18,20
Jalen Chatfield,CAR,1,10,11
Boone Jenner,CBJ,28,24,52
Kirill Marchenko,CBJ,36,25,61
Sean Monahan,CBJ,25,34,59
Adam Fantilli,CBJ,19,31,50
Kent Johnson,CBJ,16,38,54
Yegor Chinakhov,CBJ,21,23,44
Cole Sillinger,CBJ,6,13,19
James van Riemsdyk,CBJ,12,24,36
Dimitri Voronkov,CBJ,11,33,44
Sean Kuraly,CBJ,12,15,27
Mathieu Olivier,CBJ,5,8,13
Justin Danforth,CBJ,7,10,17
Gavin Brindley,CBJ,2,2,4
Zach Werenski,CBJ,9,34,43
Ivan Provorov,CBJ,8,11,19
Jordan Harris,CBJ,5,27,32
Damon Severson,CBJ,0,17,17
Erik Gudbranson,CBJ,2,9,11
Jack Johnson,CBJ,0,6,6
Travis Konecny,PHI,31,49,80
Owen Tippett,PHI,38,44,82
Tyson Foerster,PHI,29,14,43
Matvei Michkov,PHI,30,25,55
Sean Couturier,PHI,12,25,37
Joel Farabee,PHI,28,30,58
Scott Laughton,PHI,9,12,21
Morgan Frost,PHI,5,28,33
Noah Cates,PHI,7,15,22
Garnet Hathaway,PHI,5,6,11
Ryan Poehling,PHI,9,19,28
Bobby Brink,PHI,7,21,28
Nicolas Deslauriers,PHI,2,3,5
Travis Sanheim,PHI,15,36,51
Cam York,PHI,5,17,22
Nick Seeler,PHI,0,17,17
Jamie Drysdale,PHI,2,11,13
Erik Johnson,PHI,5,4,9
Rasmus Ristolainen,PHI,0,10,10
Sidney Crosby,PIT,29,53,82
Evgeni Malkin,PIT,37,38,75
Bryan Rust,PIT,34,31,65
Rickard Rakell,PIT,11,16,27
Michael Bunting,PIT,20,28,48
Drew O'Connor,PIT,19,29,48
Lars Eller,PIT,10,8,18
Kevin Hayes,PIT,16,12,28
Cody Glass,PIT,2,12,14
Noel Acciari,PIT,6,5,11
Blake Lizotte,PIT,6,21,27
Anthony Beauvilier,PIT,7,12,19
Jesse Puljujarvi,PIT,2,5,7
Erik Karlsson,PIT,21,54,75
Kris Letang,PIT,9,28,37
Marcus Pettersson,PIT,2,23,25
Ryan Graves,PIT,2,8,10
Matt Grzelyck,PIT,2,17,19
Sebastian Aho,PIT,2,2,4
Jack Hughes,NJ,45,39,84
Nico Hischier,NJ,33,45,78
Jesper Bratt,NJ,33,60,93
Timo Meier,NJ,32,26,58
Dawson Mercer,NJ,31,28,59
Erik Haula,NJ,15,25,40
Ondrej Palat,NJ,19,30,49
Tomas Tatar,NJ,16,14,30
Stefan Noesen,NJ,4,27,31
Curtis Lazar,NJ,2,11,13
Nathan Bastian,NJ,13,9,22
Paul Cotter,NJ,4,8,12
Dougie Hamilton,NJ,13,28,41
Jonas Siegenthaler,NJ,0,13,13
Brett Pesce,NJ,2,19,21
Brenden Dillon,NJ,5,19,24
Johnathan Kovacevic,NJ,0,10,10
Simon Nemec,NJ,0,20,20
Luke Hughes,NJ,3,2,5
Kurtis MacDermid,NJ,0,1,1
Nick DeSimone,NJ,0,1,1
Mat Barzal,NYI,29,47,76
Bo Horvat,NYI,36,31,67
Brock Nelson,NYI,45,31,76
Kyle Palmieri,NYI,18,27,45
Anthony Duclair,NYI,18,43,61
Maxim Tsyplakov,NYI,22,30,52
Anders Lee,NYI,14,11,25
JG Pageau,NYI,11,26,37
Simon Holmstrom,NYI,12,12,24
Casey Cizikas,NYI,6,9,15
Kyle MacLean,NYI,5,11,16
Oliver Wahlstrom,NYI,4,8,12
Hudson Fasching,NYI,2,3,5
Julien Gauthier,NYI,1,1,2
Pierre Engvall,NYI,1,4,5
Noah Dobson,NYI,7,35,42
Ryan Pulock,NYI,6,20,26
Adam Pelech,NYI,3,21,24
Alexander Romanov,NYI,2,15,17
Scott Mayfield,NYI,0,11,11
Mike Reilly,NYI,0,15,15
Samuel Bolduc,NYI,3,0,3
Artemi Panarin,NYR,41,40,81
Mika Zibanejad,NYR,32,40,72
Vincent Trocheck,NYR,19,59,78
Chris Kreider,NYR,20,25,45
Filip Chytil,NYR,17,22,39
Alexis Lafreniere,NYR,23,29,52
Kaapo Kakko,NYR,15,13,28
Reilly Smith,NYR,4,25,29
Will Cuylle,NYR,8,12,20
Matt Rempe,NYR,5,9,14
Jimmy Vesey,NYR,5,8,13
Sam Carrick,NYR,9,4,13
Adam Edstrom,NYR,2,3,5
Adam Fox,NYR,32,39,71
K'Andre Miller,NYR,7,22,29
Ryan Lindgren,NYR,1,16,17
Jacob Trouba,NYR,1,22,23
Zachary Jones,NYR,1,11,12
Braden Schneider,NYR,2,5,7
Chad Ruhwedel,NYR,1,1,2
Alexander Ovechkin,WSH,43,34,77
Tom Wilson,WSH,15,27,42
Dylan Strome,WSH,29,35,64
Pierre-Luc Dubois,WSH,10,36,46
Andrew Mangiapane,WSH,18,28,46
Connor McMichael,WSH,17,32,49
Sonny Milano,WSH,11,22,33
Hendrix Lapierre,WSH,14,13,27
Taylor Raddysh,WSH,7,6,13
Nic Dowd,WSH,9,16,25
Aliaksi Protas,WSH,6,8,14
Brandon Duhaime,WSH,3,8,11
TJ Oshie,WSH,1,2,3
John Carlson,WSH,16,22,38
Jakob Chychrun,WSH,6,21,27
Matt Roy,WSH,2,9,11
Rasmus Sandin,WSH,5,15,20
Trevor Van Riemsdyk,WSH,0,15,15
Martin Fehervary,WSH,1,6,7
Ethan Bear,WSH,6,3,9
Clayton Keller,UT,41,36,77
Barrett Hayton,UT,10,29,39
Nick Schmaltz,UT,31,36,67
Lawson Crouse,UT,19,28,47
Logan Cooley,UT,16,36,52
Dylan Guenther,UT,18,23,41
Mattias Maccelli,UT,17,25,42
Josh Doan,UT,13,18,31
Nick Bjugstad,UT,14,17,31
Alex Kerfoot,UT,2,15,17
Jack McBain,UT,11,21,32
Kevin Stenlund,UT,11,10,21
Michael Carcone,UT,0,0,0
Mikhail Sergachev,UT,12,30,42
Sean Durzi,UT,10,20,30
John Marino,UT,2,17,19
Juuso Valimaki,UT,2,15,17
Ian Cole,UT,0,8,8
Michael Kesselring,UT,1,10,11
Connor Bedard,CHI,30,40,70
Tyler Bertuzzi,CHI,23,48,71
Teuvo Teravainen,CHI,35,44,79
Andreas Athanasiou,CHI,13,28,41
Philip Kurashev,CHI,14,12,26
Taylor Hall,CHI,29,23,52
Jason Dickinson,CHI,16,12,28
Nick Foligno,CHI,8,22,30
Ilya Mikheyev,CHI,16,21,37
Craig Smith,CHI,12,12,24
Ryan Donato,CHI,16,19,35
Lukas Reichel,CHI,6,15,21
Joey Anderson,CHI,3,5,8
Patrick Maroon,CHI,0,3,3
Frank Nazar,CHI,2,3,5
Nolan Slaggert,CHI,0,2,2
Seth Jones,CHI,13,40,53
Alex Vlassic,CHI,3,12,15
Connor Murphy,CHI,2,16,18
Kevin Korchinski,CHI,3,7,10
Alec Martinez,CHI,0,7,7
TJ Brodie,CHI,1,16,17
Nathan MacKinnon,COL,34,45,79
Mikko Rantanen,COL,59,30,89
Jonathan Drouin,COL,30,40,70
Casey Mittelstadt,COL,17,38,55
Artturi Lehkonen,COL,19,31,50
Nikolai Kovalenko,COL,20,23,43
Ross Colton,COL,8,24,32
Miles Wood,COL,3,18,21
Logan O'Connor,COL,7,18,25
Parker Kelly,COL,7,4,11
Chris Wagner,COL,6,5,11
Joel Kiviranta,COL,4,3,7
Gabriel Landeskog,COL,1,4,5
Cale Makar,COL,16,29,45
Devon Toews,COL,7,23,30
Samuel Girard,COL,5,23,28
Josh Manson,COL,3,24,27
Oliver Kylington,COL,3,7,10
Calvin deHaan,COL,0,12,12
Keaton Middleton,COL,0,1,1
Jason Robertson,DAL,42,42,84
Roope Hintz,DAL,37,40,77
Wyatt Johnston,DAL,27,43,70
Jamie Benn,DAL,23,37,60
Tyler Seguin,DAL,27,29,56
Matt Duchene,DAL,30,28,58
Mason Marchment,DAL,15,24,39
Evgeni Dadonov,DAL,20,14,34
Logan Stankoven,DAL,6,36,42
Sam Steel,DAL,6,15,21
Colin Blackwell,DAL,9,8,17
Mavrik Bourque,DAL,6,14,20
Miro Heiskanen,DAL,8,40,48
Esa Lindell,DAL,7,20,27
Thomas Harley,DAL,3,28,31
Ilya Lyubushkin,DAL,1,15,16
Matt Dumba,DAL,0,2,2
Nils Lundkvist,DAL,1,13,14
Brendan Smith,DAL,0,2,2
Kirill Kaprizov,MIN,36,39,75
Matthew Boldy,MIN,44,26,70
Joel Eriksson-Ek,MIN,11,46,57
Mats Zuccarello,MIN,16,42,58
Marcus Foligno,MIN,17,26,43
Ryan Hartman,MIN,23,32,55
Frederick Gaudreau,MIN,6,12,18
Marcus Johansson,MIN,12,10,22
Marco Rossi,MIN,13,13,26
Marat Kushnutdinov,MIN,15,6,21
Yakov Trenin,MIN,1,9,10
Jakub Lauko,MIN,5,19,24
Liam Ohgren,MIN,0,2,2
Brock Faber,MIN,9,36,45
Jonas Brodin,MIN,5,10,15
Jared Spurgeon,MIN,3,16,19
Jake Middleton,MIN,2,14,16
Zach Bogosian,MIN,1,10,11
Jon Merrill,MIN,2,10,12
Filip Forsberg,NSH,37,27,64
Ryan O'Reilly,NSH,24,33,57
Jonathan Marchessault,NSH,37,33,70
Gustav Nyquist,NSH,16,38,54
Steven Stamkos,NSH,26,25,51
Tommy Novak,NSH,16,31,47
Colton Sissons,NSH,6,10,16
Mark Jankowski,NSH,6,4,10
Luke Evangelista,NSH,10,29,39
Cole Smith,NSH,3,12,15
Michael McCarron,NSH,8,7,15
Phil Tomasino,NSH,3,9,12
Juuso Parssinen,NSH,0,3,3
Roman Josi,NSH,18,37,55
Brady Skjei,NSH,5,18,23
Dante Fabbro,NSH,1,15,16
Alexandre Carrier,NSH,0,9,9
Jeremy Lauzon,NSH,1,7,8
Spencer Stastney,NSH,0,6,6
Luke Schenn,NSH,0,6,6
Robert Thomas,STL,35,58,93
Jordan Kyrou,STL,37,27,64
Pavel Buchnevich,STL,25,35,60
Brayden Schenn,STL,20,27,47
Jake Neighbours,STL,24,17,41
Brandon Saad,STL,24,18,42
Radek Faksa,STL,6,18,24
Mathieu Joseph,STL,4,22,26
Dylan Holloway,STL,5,8,13
Alexey Toropchenko,STL,5,5,10
Oskar Sundqvist,STL,4,13,17
Alexandre Texier,STL,16,15,31
Kasperi Kapanen,STL,0,3,3
Colton Parayko,STL,10,15,25
Nick Leddy,STL,6,21,27
Justin Faulk,STL,1,23,24
Philip Broberg,STL,2,12,14
Ryan Suter,STL,2,10,12
Scott Perunovich,STL,0,15,15
Torey Krug,STL,0,2,2
Kyle Connor,WPG,40,25,65
Mark Scheifele,WPG,29,35,64
Gabriel Vilardi,WPG,37,35,72
Cole Perfetti,WPG,12,31,43
Nikolai Ehlers,WPG,22,38,60
Alex Iafallo,WPG,16,24,40
Nino Niederreiter,WPG,9,16,25
Mason Appleton,WPG,13,20,33
Adam Lowry,WPG,4,16,20
Vladislav Namestnikov,WPG,13,14,27
Morgan Barron,WPG,10,12,22
Rasmus Kupari,WPG,4,17,21
Josh Morrissey,WPG,13,39,52
Dylan DeMelo,WPG,3,17,20
Neal Pionk,WPG,2,15,17
Dylan Samberg,WPG,6,24,30
Logan Stanley,WPG,1,5,6
Colin Miller,WPG,2,12,14
Troy Terry,ANA,36,36,72
Alex Killorn,ANA,32,46,78
Leo Carlsson,ANA,37,23,60
Frank Vatrano,ANA,20,21,41
Trevor Zegras,ANA,27,32,59
Cutter Gauthier,ANA,21,24,45
Ryan Strome,ANA,8,16,24
Robby Fabbri,ANA,17,19,36
Mason McTavish,ANA,8,25,33
Brett Leason,ANA,5,9,14
Brock McGinn,ANA,6,8,14
Isac Lundestrom,ANA,2,8,10
Sam Colangelo,ANA,0,1,1
Ross Johnston,ANA,0,3,3
Cam Fowler,ANA,2,30,32
Pavel Mintyukov,ANA,3,19,22
Radko Gudas,ANA,7,18,25
Brian Dumoulin,ANA,4,23,27
Olen Zellweger,ANA,0,10,10
Gustav Lindstrom,ANA,1,14,15
Blake Coleman,CGY,23,26,49
Mikael Backlund,CGY,14,44,58
Jonathan Huberdeau,CGY,21,31,52
Andrei Kuzmenko,CGY,35,23,58
Nazem Kadri,CGY,18,29,47
Connor Zary,CGY,20,22,42
Yegor Sharangovich,CGY,18,13,31
Martin Pospisil,CGY,6,20,26
Anthony Mantha,CGY,8,23,31
Kevin Rooney,CGY,4,1,5
Ryan Lomberg,CGY,7,4,11
Walker Dueher,CGY,6,14,20
Dryden Hunt,CGY,2,0,2
MacKenzie Weegar,CGY,9,16,25
Rasmus Andersson,CGY,6,17,23
Kevin Bahl,CGY,1,10,11
Danill Miromanov,CGY,1,21,22
Tyson Barrie,CGY,2,13,15
Jake Bean,CGY,2,7,9
Brayden Pachal,CGY,1,1,2
Joel Hanley,CGY,1,2,3
Connor McDavid,EDM,50,69,119
Leon Draisaitl,EDM,57,57,114
Ryan Nugent-Hopkins,EDM,23,37,60
Zach Hyman,EDM,32,29,61
Jeff Skinner,EDM,24,54,78
Viktor Arvidsson,EDM,26,29,55
Mattias Janmark,EDM,4,27,31
Connor Brown,EDM,4,28,32
Adam Henrique,EDM,23,11,34
Derek Ryan,EDM,7,9,16
Corey Perry,EDM,4,13,17
Vasaily Podkolzin,EDM,14,10,24
Evander Kane,EDM,0,1,1
Darnell Nurse,EDM,6,19,25
Evan Bouchard,EDM,11,32,43
Mattias Ekholm,EDM,5,35,40
Brett Kulak,EDM,1,9,10
Troy Stecher,EDM,0,7,7
Ty Emberson,EDM,1,6,7
Josh Brown,EDM,0,2,2
Anze Kopitar,LA,37,29,66
Adrian Kempe,LA,31,25,56
Kevin Fiala,LA,38,45,83
Quinton Byfield,LA,18,43,61
Phillip Danault,LA,23,22,45
Arthur Kaliyev,LA,10,32,42
Trevor Moore,LA,14,20,34
Alexis Lafferiere,LA,8,8,16
Warren Foegle,LA,9,25,34
Tanner Jeannot,LA,11,7,18
Trevor Lewis,LA,9,12,21
Alex Turcotte,LA,7,12,19
Drew Doughty,LA,2,6,8
Mikey Anderson,LA,4,15,19
Vladislav Gavrikov,LA,0,19,19
Brandt Clarke,LA,1,16,17
Jordan Spence,LA,1,22,23
Kyle Burroughs,LA,0,12,12
Joel Edmundson,LA,1,5,6
Andreas Englund,LA,0,2,2
Jacob Moverare,LA,0,0,0
Macklin Celebrini,SJ,19,40,59
William Eklund,SJ,28,28,56
Tyler Toffoli,SJ,36,29,65
Mikael Granlund,SJ,14,25,39
Fabian Zetterlund,SJ,17,32,49
Alexander Wennberg,SJ,15,23,38
Will Smith,SJ,10,10,20
Thomas Bordeleau,SJ,16,9,25
Luke Kunin,SJ,8,13,21
Nico Sturm,SJ,7,16,23
Barclay Goodrow,SJ,7,9,16
Ty Dellandrea,SJ,4,11,15
Klim Kostin,SJ,0,1,1
Logan Couture,SJ,0,1,1
Carl Grundstrom,SJ,2,1,3
Mario Ferraro,SJ,2,21,23
Cody Ceci,SJ,4,9,13
Jan Rutta,SJ,3,12,15
Jake Walman,SJ,2,8,10
Matt Benning,SJ,0,17,17
Marc-Eduoard Vlassic,SJ,0,6,6
Jared McCann,SEA,32,28,60
Matty Beniers,SEA,25,24,49
Jordan Eberle,SEA,18,38,56
Yanni Gourde,SEA,9,27,36
Oliver Bjorkstrand,SEA,22,24,46
Chandler Stephenson,SEA,27,34,61
Eeli Tolvanen,SEA,6,19,25
Andre Burakovsky,SEA,16,24,40
Jaden Schwartz,SEA,8,5,13
Brandon Tanev,SEA,3,6,9
Shane Wright,SEA,6,14,20
Tye Kartye,SEA,7,11,18
Vince Dunn,SEA,11,23,34
Adam Larsson,SEA,10,17,27
Jamie Oleksiak,SEA,3,12,15
Brandon Montour,SEA,4,10,14
William Borgen,SEA,0,11,11
Ryker Evans,SEA,1,10,11
Josh Mahura,SEA,1,8,9
Elias Pettersson,VAN,27,51,78
JT Miller,VAN,34,45,79
Jake DeBrusk,VAN,38,42,80
Brock Boeser,VAN,18,29,47
Conor Garland,VAN,18,33,51
Daniel Sprong,VAN,26,24,50
Pius Suter,VAN,9,15,24
Nils Hoglander,VAN,14,27,41
Dakota Joshua,VAN,15,16,31
Teddy Blueger,VAN,9,13,22
Danton Heinen,VAN,7,23,30
Kieffer Sherwood,VAN,9,12,21
Nils Aman,VAN,2,0,2
Phil Di Gisueppe,VAN,1,2,3
Quinn Hughes,VAN,19,34,53
Filip Hronek,VAN,2,22,24
Carson Soucy,VAN,6,10,16
Tyler Myers,VAN,2,26,28
Derek Forbort,VAN,2,6,8
Vincent Desharnais,VAN,0,7,7
Mark Friedman,VAN,1,0,1
Erik Brannstrom,VAN,2,3,5
Jack Eichel,VGK,38,57,95
Mark Stone,VGK,34,56,90
Tomas Hertl,VGK,35,41,76
William Karlsson,VGK,24,37,61
Ivan Barbashev,VGK,22,30,52
Victor Olofsson,VGK,29,19,48
Brett Howden,VGK,12,19,31
Alexander Holtz,VGK,16,18,34
Pavel Dorofeyev,VGK,19,25,44
Keegan Kolesar,VGK,9,17,26
Jonas Rondbjerg,VGK,5,12,17
Nicolas Roy,VGK,10,18,28
Alex Pietrangelo,VGK,10,28,38
Noah Hanafin,VGK,15,16,31
Shea Theodore,VGK,4,30,34
Brayden McNabb,VGK,1,15,16
Nick Hague,VGK,0,12,12
Zach Whitecloud,VGK,0,15,15
Brad Marchand,BOS,26,34,60
David Pastrnak,BOS,38,42,80
Elias Lindholm,BOS,25,34,59
Charlie Coyle,BOS,19,22,41
Pavel Zacha,BOS,21,28,49
Trent Frederic,BOS,20,23,43
Morgan Geekie,BOS,8,24,32
John Beecher,BOS,16,9,25
Mark Kastelic,BOS,12,7,19
Patrick Brown,BOS,5,12,17
Justin Brazeau,BOS,11,10,21
Max Jones,BOS,0,8,8
Charlie McAvoy,BOS,11,27,38
Hampus Lindholm,BOS,2,24,26
Brandon Carlo,BOS,3,19,22
Nikita Zadorov,BOS,2,28,30
Andrew Peeke,BOS,1,10,11
Mason Lohrei,BOS,3,8,11
Parker Wotherspoon,BOS,1,1,2
Tage Thompson,BUF,47,38,85
Alex Tuch,BUF,27,42,69
JJ Peterka,BUF,32,46,78
Dylan Cozens,BUF,27,25,52
Jack Quinn,BUF,26,31,57
Jason Zucker,BUF,29,28,57
Jordan Greenway,BUF,7,15,22
Zach Benson,BUF,12,25,37
Ryan McLeod,BUF,6,28,34
Sam Lafferty,BUF,13,12,25
Nicolas Aube-Kubel,BUF,8,12,20
Beck Malenstyn,BUF,5,7,12
Peyton Krebs,BUF,1,1,2
Rasmus Dahlin,BUF,18,39,57
Owen Power,BUF,4,31,35
Bowen Byram,BUF,5,22,27
Henri Jokijarju,BUF,0,20,20
Connor Clifton,BUF,0,14,14
Mattias Samuelsson,BUF,2,8,10
Jacob Bryson,BUF,1,3,4
Dylan Larkin,DET,35,49,84
Lucas Raymond,DET,29,23,52
Alex DeBrincat,DET,24,43,67
Patrick Kane,DET,26,29,55
JT Compher,DET,19,17,36
Vladimir Tarasenko,DET,23,32,55
Andrew Copp,DET,9,11,20
Michael Rasmussen,DET,10,28,38
Jonatan Berggren,DET,18,16,34
Joe Veleno,DET,4,5,9
Christian Fischer,DET,2,12,14
Tyler Motte,DET,2,8,10
Austin Watson,DET,3,5,8
Moritz Seider,DET,11,26,37
Ben Chiarot,DET,3,20,23
Jeff Petry,DET,2,21,23
Simon Edvinsson,DET,3,14,17
Erik Gustafsson,DET,0,14,14
Olli Maatta,DET,1,9,10
Justin Holl,DET,2,1,3
Matthew Tkachuk,FLA,36,62,98
Aleksander Barkov,FLA,39,52,91
Sam Reinhart,FLA,60,30,90
Sam Bennett,FLA,12,39,51
Carter Verhaeghe,FLA,36,30,66
Evan Rodrigues,FLA,7,35,42
Eetu Luostarainen,FLA,14,21,35
Jonah Gadjovich,FLA,7,16,23
Anton Lundell,FLA,9,19,28
Jesper Boqvist,FLA,12,19,31
AJ Greer,FLA,6,9,15
Tomas Nosek,FLA,8,9,17
Aaron Ekblad,FLA,3,35,38
Gustav Forsling,FLA,14,28,42
Dimitry Kulikov,FLA,3,22,25
Niko Mikkola,FLA,2,12,14
Nate Schmidt,FLA,2,14,16
Adam Boqvist,FLA,2,12,14
Uvis Balinskis,FLA,0,1,1
Tobias Bjornfoot,FLA,1,3,4
John Ludvig,FLA,3,0,3
Nick Suzuki,MTL,44,31,75
Cole Caufield,MTL,22,40,62
Juraj Slafkovsky,MTL,19,20,39
Patrik Laine,MTL,3,6,9
Kriby Dach,MTL,24,21,45
Alex Newhook,MTL,22,28,50
Josh Anderson,MTL,4,11,15
Christian Dvorak,MTL,13,18,31
Rafael Harvey-Pinard,MTL,8,22,30
Brendan Gallagher,MTL,5,17,22
Joel Armia,MTL,20,20,40
Jake Evans,MTL,9,13,22
Joshua Roy,MTL,13,17,30
Michael Pezzetta,MTL,2,6,8
Mike Matheson,MTL,13,42,55
David Savard,MTL,5,13,18
Kaiden Guhle,MTL,4,19,23
Justin Barron,MTL,5,29,34
Lane Hutson,MTL,0,13,13
Arber Xhekaj,MTL,3,14,17
Tim Stuetzle,OTT,22,31,53
Claude Giroux,OTT,26,49,75
Brady Tkachuk,OTT,27,59,86
Drake Batherson,OTT,30,32,62
Shane Pinto,OTT,14,24,38
Josh Norris,OTT,40,8,48
David Perron,OTT,19,26,45
Ridley Greig,OTT,12,32,44
Michael Amadio,OTT,10,16,26
Zack MacEwen,OTT,8,8,16
Noah Gregor,OTT,5,8,13
Nick Cousins,OTT,11,9,20
Jake Sanderson,OTT,8,28,36
Thomas Chabot,OTT,8,23,31
Artem Zub,OTT,2,16,18
Nick Jensen,OTT,1,18,19
Travis Hamonic,OTT,0,7,7
Jacob Bernard-Docker,OTT,1,6,7
Nikita Kucherov,TB,37,52,89
Brayden Point,TB,45,44,89
Jake Guentzel,TB,28,47,75
Brandon Hagel,TB,19,44,63
Anthony Cirelli,TB,18,34,52
Nicholas Paul,TB,27,17,44
Conor Sheary,TB,14,22,36
Mikey Eyssimont,TB,12,14,26
Cam Atkinson,TB,6,29,35
Zemgus Girgensons,TB,12,5,17
Luke Glendening,TB,7,3,10
Mitchell Chaffee,TB,14,8,22
Victor Hedman,TB,23,41,64
Erik Cernak,TB,3,15,18
Ryan McDonagh,TB,0,17,17
Darren Raddysh,TB,2,16,18
JJ Moser,TB,0,14,14
Nick Perbix,TB,1,9,10
Auston Matthews,TOR,41,44,85
William Nylander,TOR,34,34,68
Mitch Marner,TOR,23,50,73
John Tavares,TOR,19,26,45
Matthew Knies,TOR,16,25,41
Max Domi,TOR,15,38,53
Nicholas Robertson,TOR,16,10,26
Max Pacioretty,TOR,16,24,40
Pontus Holmberg,TOR,11,17,28
David Kampf,TOR,7,8,15
Connor Dewar,TOR,8,6,14
Bobby McMann,TOR,10,11,21
Ryan Reaves,TOR,0,1,1
Steven Lorentz,TOR,1,0,1
Calle Jarnkrok,TOR,2,3,5
Morgan Rielly,TOR,12,30,42
Chris Tanev,TOR,9,25,34
Oliver Ekman-Larsson,TOR,2,20,22
Jake McCabe,TOR,4,20,24
Simon Benoit,TOR,1,3,4
Timothy Liljgren,TOR,1,8,9
Conor Timmins,TOR,1,2,3
Sebastian Aho,CAR,38,31,69
Andrei Svechnikov,CAR,26,40,66
Seth Jarvis,CAR,42,33,75
Jesperi Kotkaniemi,CAR,23,18,41
Martin Necas,CAR,32,37,69
Jesper Fast,CAR,18,21,39
Jack Drury,CAR,11,30,41
Jordan Staal,CAR,5,11,16
Jack Roslovic,CAR,7,35,42
Tyson Jost,CAR,10,6,16
William Carrier,CAR,0,15,15
Jordan Martinook,CAR,12,14,26
Brendan Lemieux,CAR,1,4,5
Eric Robinson,CAR,1,2,3
Ryan Suzuki,CAR,1,3,4
Jaccob Slavin,CAR,3,26,29
Brent Burns,CAR,14,26,40
Sean Walker,CAR,4,22,26
Dimitry Orlov,CAR,2,17,19
Shayne Gostisbehere,CAR,4,16,20
Jalen Chatfield,CAR,0,1,1
Boone Jenner,CBJ,24,23,47
Kirill Marchenko,CBJ,23,14,37
Sean Monahan,CBJ,18,41,59
Adam Fantilli,CBJ,33,27,60
Kent Johnson,CBJ,17,21,38
Yegor Chinakhov,CBJ,26,13,39
Cole Sillinger,CBJ,3,17,20
James van Riemsdyk,CBJ,5,35,40
Dimitri Voronkov,CBJ,10,22,32
Sean Kuraly,CBJ,12,9,21
Mathieu Olivier,CBJ,2,8,10
Justin Danforth,CBJ,8,3,11
Gavin Brindley,CBJ,0,0,0
Zach Werenski,CBJ,18,40,58
Ivan Provorov,CBJ,6,14,20
Jordan Harris,CBJ,1,20,21
Damon Severson,CBJ,2,17,19
Erik Gudbranson,CBJ,0,2,2
Jack Johnson,CBJ,0,5,5
Travis Konecny,PHI,36,40,76
Owen Tippett,PHI,28,42,70
Tyson Foerster,PHI,38,16,54
Matvei Michkov,PHI,26,23,49
Sean Couturier,PHI,7,40,47
Joel Farabee,PHI,23,32,55
Scott Laughton,PHI,12,11,23
Morgan Frost,PHI,5,26,31
Noah Cates,PHI,10,24,34
Garnet Hathaway,PHI,10,14,24
