Name,Team,Goals,Assists,Points
Mikael Backlund,CGY,14,36,50
Jonathan Huberdeau,CGY,20,45,65
Andrei Kuzmenko,CGY,38,23,61
Nazem Kadri,CGY,32,30,62
Connor Zary,CGY,29,21,50
Yegor Sharangovich,CGY,9,23,32
Martin Pospisil,CGY,10,28,38
Anthony Mantha,CGY,20,21,41
Kevin Rooney,CGY,6,4,10
Ryan Lomberg,CGY,13,4,17
Walker Dueher,CGY,4,19,23
Dryden Hunt,CGY,0,1,1
MacKenzie Weegar,CGY,7,28,35
Rasmus Andersson,CGY,6,23,29
Kevin Bahl,CGY,5,18,23
Danill Miromanov,CGY,3,22,25
Tyson Barrie,CGY,1,6,7
Jake Bean,CGY,1,11,12
Brayden Pachal,CGY,0,0,0
Joel Hanley,CGY,0,5,5
Connor McDavid,EDM,50,59,109
Leon Draisaitl,EDM,52,50,102
Ryan Nugent-Hopkins,EDM,15,38,53
Zach Hyman,EDM,24,24,48
Jeff Skinner,EDM,37,40,77
Viktor Arvidsson,EDM,22,28,50
Mattias Janmark,EDM,8,22,30
Connor Brown,EDM,4,20,24
Adam Henrique,EDM,17,28,45
Derek Ryan,EDM,7,8,15
Corey Perry,EDM,7,14,21
Vasaily Podkolzin,EDM,10,7,17
Evander Kane,EDM,1,5,6
Darnell Nurse,EDM,10,28,38
Evan Bouchard,EDM,11,26,37
Mattias Ekholm,EDM,1,26,27
Brett Kulak,EDM,2,8,10
Troy Stecher,EDM,0,8,8
Ty Emberson,EDM,0,15,15
Josh Brown,EDM,1,0,1
Anze Kopitar,LA,53,30,83
Adrian Kempe,LA,40,27,67
Kevin Fiala,LA,37,55,92
Quinton Byfield,LA,12,37,49
Phillip Danault,LA,26,36,62
Arthur Kaliyev,LA,10,37,47
Trevor Moore,LA,12,29,41
Alexis Lafferiere,LA,9,10,19
Warren Foegle,LA,5,19,24
Tanner Jeannot,LA,8,8,16
Trevor Lewis,LA,3,12,15
Alex Turcotte,LA,8,12,20
Drew Doughty,LA,1,1,2
Mikey Anderson,LA,3,15,18
Vladislav Gavrikov,LA,2,13,15
Brandt Clarke,LA,5,18,23
Jordan Spence,LA,3,25,28
Kyle Burroughs,LA,0,9,9
Joel Edmundson,LA,1,3,4
Andreas Englund,LA,0,4,4
Jacob Moverare,LA,1,0,1
Macklin Celebrini,SJ,27,38,65
William Eklund,SJ,19,19,38
Tyler Toffoli,SJ,34,32,66
Mikael Granlund,SJ,17,31,48
Fabian Zetterlund,SJ,15,18,33
Alexander Wennberg,SJ,13,29,42
Will Smith,SJ,15,9,24
Thomas Bordeleau,SJ,16,16,32
Luke Kunin,SJ,8,13,21
Nico Sturm,SJ,7,11,18
Barclay Goodrow,SJ,11,14,25
Ty Dellandrea,SJ,4,12,16
Klim Kostin,SJ,3,1,4
Logan Couture,SJ,1,3,4
Carl Grundstrom,SJ,1,0,1
Mario Ferraro,SJ,1,21,22
Cody Ceci,SJ,4,15,19
Jan Rutta,SJ,1,9,10
Jake Walman,SJ,1,10,11
Matt Benning,SJ,0,16,16
Marc-Eduoard Vlassic,SJ,2,10,12
Jared McCann,SEA,37,31,68
Matty Beniers,SEA,26,31,57
Jordan Eberle,SEA,28,53,81
Yanni Gourde,SEA,14,33,47
Oliver Bjorkstrand,SEA,24,24,48
Chandler Stephenson,SEA,23,24,47
Eeli Tolvanen,SEA,19,24,43
Andre Burakovsky,SEA,20,22,42
Jaden Schwartz,SEA,7,15,22
Brandon Tanev,SEA,7,17,24
Shane Wright,SEA,7,19,26
Tye Kartye,SEA,11,10,21
Vince Dunn,SEA,14,31,45
Adam Larsson,SEA,14,19,33
Jamie Oleksiak,SEA,1,15,16
Brandon Montour,SEA,1,16,17
William Borgen,SEA,1,6,7
Ryker Evans,SEA,0,10,10
Josh Mahura,SEA,1,9,10
Elias Pettersson,VAN,30,52,82
JT Miller,VAN,42,43,85
Jake DeBrusk,VAN,23,33,56
Brock Boeser,VAN,25,25,50
Conor Garland,VAN,22,27,49
Daniel Sprong,VAN,17,28,45
Pius Suter,VAN,13,16,29
Nils Hoglander,VAN,23,14,37
Dakota Joshua,VAN,14,21,35
Teddy Blueger,VAN,4,17,21
Danton Heinen,VAN,6,15,21
Kieffer Sherwood,VAN,11,17,28
Nils Aman,VAN,1,1,2
Phil Di Gisueppe,VAN,0,2,2
Quinn Hughes,VAN,15,43,58
Filip Hronek,VAN,3,24,27
Carson Soucy,VAN,6,8,14
Tyler Myers,VAN,1,16,17
Derek Forbort,VAN,1,10,11
Vincent Desharnais,VAN,2,14,16
Mark Friedman,VAN,0,0,0
Erik Brannstrom,VAN,0,0,0
Jack Eichel,VGK,36,38,74
Mark Stone,VGK,25,35,60
Tomas Hertl,VGK,38,38,76
William Karlsson,VGK,19,31,50
Ivan Barbashev,VGK,18,27,45
Victor Olofsson,VGK,22,27,49
Brett Howden,VGK,9,17,26
Alexander Holtz,VGK,13,17,30
Pavel Dorofeyev,VGK,15,13,28
Keegan Kolesar,VGK,2,16,18
Jonas Rondbjerg,VGK,3,11,14
Nicolas Roy,VGK,9,15,24
Alex Pietrangelo,VGK,7,28,35
Noah Hanafin,VGK,9,21,30
