Simulation 1 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
15,VGK,42,31,9,93,282,278,12.47%,0.891
16,NYI,43,33,6,92,267,260,11.74%,0.898
17,OTT,41,32,9,91,256,247,11.46%,0.907
18,WSH,42,34,6,90,265,258,11.19%,0.903
19,CHI,41,37,4,86,225,232,10.93%,0.911
20,PIT,40,38,4,84,265,283,11.26%,0.895
21,LA,39,38,5,83,227,236,10.62%,0.897
22,MIN,38,37,7,83,232,217,11.14%,0.906
23,COL,36,36,10,82,230,235,9.74%,0.906
24,UT,37,38,7,81,249,246,11.91%,0.900
25,NSH,38,40,4,80,227,252,10.13%,0.900
26,PHI,37,39,6,80,246,286,11.41%,0.889
27,CGY,36,39,7,79,243,268,11.01%,0.882
28,STL,35,39,8,78,243,284,11.50%,0.902
29,MTL,33,42,7,73,249,293,11.39%,0.891
30,ANA,32,46,4,68,221,276,10.21%,0.897
31,CBJ,30,46,6,66,229,271,10.73%,0.895
32,SJ,27,51,4,58,200,278,10.25%,0.897

Simulation 10 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,NJ,55,22,5,115,310,241,11.79%,0.906
2,VAN,51,23,8,110,246,220,11.05%,0.908
3,LA,50,26,6,106,270,228,11.95%,0.898
4,CAR,49,25,8,106,291,250,11.95%,0.902
5,UT,48,28,6,102,276,235,12.36%,0.911
6,EDM,47,27,8,102,299,269,11.54%,0.902
7,CGY,47,28,7,101,264,269,11.99%,0.893
8,DAL,48,30,4,100,281,225,11.91%,0.907
9,TB,45,30,7,97,289,267,12.79%,0.903
10,NYI,43,30,9,95,265,275,11.90%,0.900
11,BOS,43,31,8,94,259,223,11.78%,0.907
12,WPG,43,31,8,94,246,227,11.73%,0.913
13,NYR,43,31,8,94,244,246,11.71%,0.905
14,PIT,43,33,6,92,263,277,11.45%,0.903
15,OTT,42,33,7,91,248,242,11.25%,0.911
16,TOR,42,35,5,89,271,253,12.02%,0.893
17,DET,42,35,5,89,238,243,11.48%,0.906
18,MIN,41,34,7,89,264,240,12.44%,0.899
19,CHI,40,36,6,86,243,261,11.77%,0.899
20,VGK,39,38,5,83,259,260,11.29%,0.894
21,FLA,38,37,7,83,238,237,10.48%,0.896
22,WSH,38,37,7,83,252,252,10.32%,0.901
23,SEA,38,37,7,83,262,268,12.17%,0.893
24,NSH,37,36,9,83,264,259,11.73%,0.902
25,BUF,40,40,2,82,241,240,10.39%,0.904
26,MTL,34,40,8,76,252,298,11.72%,0.892
27,SJ,32,41,9,73,238,301,12.41%,0.893
28,COL,34,44,4,72,262,287,11.01%,0.877
29,PHI,34,44,4,72,236,297,10.61%,0.887
30,CBJ,30,44,8,68,227,272,10.46%,0.903
31,ANA,28,44,10,66,242,302,11.89%,0.889
32,STL,28,47,7,63,223,299,10.47%,0.889

Simulation 11 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,WPG,56,20,6,118,293,218,13.41%,0.914
2,VAN,53,21,8,114,257,203,11.49%,0.913
3,NYR,52,22,8,112,269,221,12.79%,0.913
4,CAR,52,23,7,111,291,216,12.09%,0.907
5,NJ,48,27,7,103,338,295,12.78%,0.891
6,COL,48,28,6,102,323,295,13.16%,0.893
7,NSH,49,31,2,100,251,233,10.97%,0.907
8,FLA,44,26,12,100,254,229,11.11%,0.904
9,BOS,46,30,6,98,282,271,12.78%,0.899
10,NYI,42,27,13,97,283,259,12.55%,0.906
11,EDM,45,32,5,95,294,268,11.29%,0.903
12,TOR,43,30,9,95,274,257,11.82%,0.898
13,DAL,44,32,6,94,278,254,11.72%,0.898
14,WSH,44,35,3,91,266,262,11.40%,0.893
15,STL,43,34,5,91,259,251,12.23%,0.902
16,LA,41,34,7,89,238,232,10.81%,0.897
17,VGK,40,33,9,89,248,254,11.01%,0.898
18,BUF,42,38,2,86,264,251,11.60%,0.897
19,TB,41,38,3,85,231,233,10.10%,0.903
20,DET,35,35,12,82,237,251,11.32%,0.904
21,CGY,38,39,5,81,257,275,11.93%,0.887
22,UT,36,37,9,81,247,277,11.79%,0.897
23,OTT,39,41,2,80,225,259,10.26%,0.899
24,SEA,37,41,4,78,245,250,11.22%,0.898
25,MIN,34,39,9,77,242,266,11.22%,0.889
26,MTL,35,41,6,76,239,287,10.84%,0.889
27,PIT,34,40,8,76,287,309,12.68%,0.887
28,CBJ,34,40,8,76,251,288,11.52%,0.894
29,PHI,31,42,9,71,264,313,12.18%,0.881
30,SJ,32,45,5,69,246,282,12.48%,0.898
31,ANA,30,49,3,63,246,335,11.79%,0.877
32,CHI,24,47,11,59,236,321,11.31%,0.890

Simulation 12 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,EDM,52,21,9,113,331,278,12.21%,0.901
2,CAR,49,24,9,107,289,239,12.13%,0.905
3,FLA,49,27,6,104,252,220,11.17%,0.909
4,BUF,48,26,8,104,280,251,12.12%,0.903
