date,away_team,home_team,visitor_goals,home_goals,visitor_sog,home_sog,visitor_goalie,home_goalie,regulation,winner
11/5/2024,sea,col,3,6,20,32,Philipp Grubauer,Justus Annunen,TRUE,col
11/5/2024,van,ana,5,1,37,22,Kevin Lankinen,Lukas Dostal,TRUE,van
11/5/2024,cbj,sj,1,2,50,27,Elvis Merzlikins,Vitek Vanecek,FALSE,sj
11/6/2024,nsh,wsh,2,3,35,36,Juuse Saros,Logan Thompson,TRUE,wsh
11/6/2024,det,chi,4,1,25,29,Cam Talbot,Petr Mrazek,TRUE,det
11/6/2024,vgk,edm,4,2,35,29,Adin Hill,Stuart Skinner,TRUE,vgk
11/7/2024,cgy,bos,3,4,37,38,Dustin Wolf,Joonas Korpisalo,FALSE,bos
11/7/2024,nyi,ott,4,2,25,30,Semyon Varlamov,Anton Forsberg,TRUE,nyi
11/7/2024,phi,tb,2,1,32,24,Ivan Fedotov,Andrei Vasilevskiy,FALSE,phi
11/7/2024,nsh,fla,2,6,18,34,Scott Wedgewood,Sergei Bobrovsky,TRUE,fla
11/7/2024,mtl,nj,3,5,24,27,Sam Montembeault,Jacob Markstrom,TRUE,nj
11/7/2024,buf,nyr,6,1,22,26,Ukko-Pekka Luukkonen,Igor Shesterkin,TRUE,buf
11/7/2024,pit,car,1,5,37,19,Alex Nedeljkovic,Pyotr Kochetkov,TRUE,car
11/7/2024,ari,stl,4,2,31,15,Connor Ingram,Joel Hofer,TRUE,ari
11/7/2024,chi,dal,1,3,26,40,Arvid Soderblom,Jake Oettinger,TRUE,dal
11/7/2024,col,wpg,0,1,35,28,Alexandar Georgiev,Connor Hellebuyck,TRUE,wpg
11/7/2024,van,la,4,2,23,28,Kevin Lankinen,Darcy Kuemper,TRUE,van
11/7/2024,min,sj,5,2,31,26,Marc-Andre Fleury,Vitek Vanecek,TRUE,min
11/8/2024,det,tor,1,3,22,20,Cam Talbot,Anthony Stolarz,TRUE,tor
11/8/2024,pit,wsh,4,2,32,34,Joel Blomqvist,Charlie Lindgren,TRUE,pit
11/8/2024,min,ana,5,2,31,35,Filip Gustavsson,Lukas Dostal,TRUE,min
11/8/2024,vgk,sea,3,4,24,32,Adin Hill,Joey Daccord,FALSE,sea
11/9/2024,cgy,buf,2,3,26,19,Dan Vladar,Ukko-Pekka Luukkonen,FALSE,buf
11/9/2024,phi,fla,3,4,37,31,Samuel Ersson,Sergei Bobrovsky,FALSE,fla
11/9/2024,ott,bos,3,2,34,16,Linus Ullmark,Jeremy Swayman,FALSE,ott
11/9/2024,mtl,tor,1,4,21,27,Sam Montembeault,Joseph Woll,TRUE,tor
11/9/2024,nyr,det,4,0,24,37,Jonathan Quick,Ville Husso,TRUE,nyr
11/9/2024,wsh,stl,8,1,27,25,Logan Thompson,Jordan Binnington,TRUE,wsh
11/9/2024,dal,wpg,1,4,33,25,Jake Oettinger,Connor Hellebuyck,TRUE,wpg
11/9/2024,nj,nyi,4,3,33,22,Jacob Markstrom,Ilya Sorokin,FALSE,nj
11/9/2024,ari,nsh,0,4,26,21,Connor Ingram,Juuse Saros,TRUE,nsh
11/9/2024,car,col,4,6,31,29,Spencer Martin,Alexandar Georgiev,TRUE,col
11/9/2024,cbj,la,2,5,26,23,Elvis Merzlikins,David Rittich,TRUE,la
11/9/2024,edm,van,7,3,31,20,Stuart Skinner,Kevin Lankinen,TRUE,edm
11/10/2024,sj,nj,1,0,27,44,Mackenzie Blackwood,Jake Allen,TRUE,sj
11/10/2024,min,chi,1,2,33,22,Filip Gustavsson,Petr Mrazek,FALSE,chi
11/10/2024,cbj,ana,2,4,40,30,Daniil Tarasov,John Gibson,TRUE,ana
