date,away_team,home_team,visitor_goals,home_goals,visitor_sog,home_sog,visitor_goalie,home_goalie,regulation,winner
12/27/2024,chi,buf,,,,,,,,
12/27/2024,tor,det,,,,,,,,
12/27/2024,car,nj,,,,,,,,
12/27/2024,bos,cbj,,,,,,,,
12/27/2024,nsh,stl,,,,,,,,
12/27/2024,min,dal,,,,,,,,
12/27/2024,col,ari,,,,,,,,
12/27/2024,vgk,sj,,,,,,,,
12/28/2024,mtl,fla,,,,,,,,
12/28/2024,sea,van,,,,,,,,
12/28/2024,phi,ana,,,,,,,,
12/28/2024,edm,la,,,,,,,,
12/28/2024,cbj,bos,,,,,,,,
12/28/2024,wsh,tor,,,,,,,,
12/28/2024,nyr,tb,,,,,,,,
12/28/2024,nj,car,,,,,,,,
12/28/2024,ott,wpg,,,,,,,,
12/28/2024,pit,nyi,,,,,,,,
12/28/2024,cgy,sj,,,,,,,,
12/29/2024,dal,chi,,,,,,,,
12/29/2024,edm,ana,,,,,,,,
12/29/2024,wsh,det,,,,,,,,
12/29/2024,mtl,tb,,,,,,,,
12/29/2024,nyi,pit,,,,,,,,
12/29/2024,buf,stl,,,,,,,,
12/29/2024,ott,min,,,,,,,,
12/29/2024,cgy,vgk,,,,,,,,
12/29/2024,phi,la,,,,,,,,
12/30/2024,nyr,fla,,,,,,,,
12/30/2024,nsh,wpg,,,,,,,,
12/30/2024,ari,sea,,,,,,,,
12/31/2024,bos,wsh,,,,,,,,
12/31/2024,nyi,tor,,,,,,,,
12/31/2024,mtl,vgk,,,,,,,,
12/31/2024,stl,chi,,,,,,,,
12/31/2024,pit,det,,,,,,,,
12/31/2024,car,cbj,,,,,,,,
12/31/2024,buf,dal,,,,,,,,
12/31/2024,nsh,min,,,,,,,,
12/31/2024,wpg,col,,,,,,,,
12/31/2024,nj,ana,,,,,,,,
12/31/2024,phi,sj,,,,,,,,
12/31/2024,van,cgy,,,,,,,,
12/31/2024,ari,edm,,,,,,,,
1/1/2025,nj,la,,,,,,,,
1/2/2025,car,fla,,,,,,,,
1/2/2025,bos,nyr,,,,,,,,
1/2/2025,min,wsh,,,,,,,,
1/2/2025,det,cbj,,,,,,,,
1/2/2025,tor,nyi,,,,,,,,
1/2/2025,ott,dal,,,,,,,,
1/2/2025,ana,wpg,,,,,,,,
1/2/2025,buf,col,,,,,,,,
1/2/2025,ari,cgy,,,,,,,,
1/2/2025,phi,vgk,,,,,,,,
1/2/2025,van,sea,,,,,,,,
1/2/2025,tb,sj,,,,,,,,
1/3/2025,pit,fla,,,,,,,,
1/3/2025,mtl,chi,,,,,,,,
1/3/2025,ott,stl,,,,,,,,
1/3/2025,ana,edm,,,,,,,,
1/3/2025,nsh,van,,,,,,,,
1/4/2025,nyr,wsh,,,,,,,,
1/4/2025,det,wpg,,,,,,,,
1/4/2025,nj,sj,,,,,,,,
1/4/2025,bos,tor,,,,,,,,
1/4/2025,min,car,,,,,,,,
1/4/2025,stl,cbj,,,,,,,,
1/4/2025,mtl,col,,,,,,,,
1/4/2025,nsh,cgy,,,,,,,,
1/4/2025,ari,dal,,,,,,,,
1/4/2025,tb,la,,,,,,,,
1/4/2025,buf,vgk,,,,,,,,
1/4/2025,edm,sea,,,,,,,,
1/5/2025,nyr,chi,,,,,,,,
1/5/2025,nyi,bos,,,,,,,,
